"Timestamp","Age","Primary.streaming.service","Hours.per.day","While.working","Instrumentalist","Composer","Fav.genre","Exploratory","Foreign.languages","BPM","Frequency..EDM.","Frequency..Latin.","Frequency..Pop.","Frequency..R.B.","Frequency..Rap.","Frequency..Rock.","Anxiety","Depression","Insomnia","OCD","Music.effects","Permissions","danceability","energy","key","loudness","majorness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms"
"8/27/22 21:28",18,"Spotify",4,"No","No","No","Video game music","No","Yes",132,1,0,0.33,0,0.33,0.33,7,7,10,2,"No effect","I understand.",0.640626975031964,0.748933298645893,5.34259502252684,-6.20089832625504,0.561482197968155,0.0981553340918022,0.125274274968895,0.142720535655758,0.201253370205922,0.457700169812192,123.957634182101,224677.719226631
"8/27/22 21:40",61,"YouTube Music",2.5,"Yes","No","Yes","Jazz","Yes","Yes",84,0,1,0.66,0.66,0,0,9,7,3,3,"Improve","I understand.",0.679976183879453,0.672848064750928,5.41326044654709,-6.73421159018937,0.557897508773075,0.0985216372916255,0.213439975561754,0.0444192887064164,0.178022513918413,0.555364871763866,117.973911213676,223019.853014028
"8/27/22 21:54",18,"Spotify",4,"Yes","No","No","R&B","Yes","No",107,0.33,0.66,0.66,1,1,0,7,2,5,9,"Improve","I understand.",0.684220359239502,0.66756833062926,5.41575666020908,-6.84954270720837,0.540707927872997,0.125888450714024,0.200331487928957,0.0673702999136694,0.184317341950717,0.520684299655927,119.003222546422,222481.831767705
"8/27/22 21:56",18,"Spotify",5,"Yes","Yes","Yes","Jazz","Yes","Yes",86,0,0.33,1,1,1,1,8,8,7,7,"Improve","I understand.",0.642902212279329,0.671876899527371,5.36005758201278,-7.13131881428994,0.581231681280076,0.110822287213799,0.19352626898128,0.0558611203288215,0.186257951873846,0.525868852482439,120.03565914476,228561.875507359
"8/27/22 22:00",18,"YouTube Music",3,"Yes","Yes","No","Video game music","Yes","Yes",66,0.33,0.33,0.33,0.33,0,0,4,8,6,0,"Improve","I understand.",0.669452294142508,0.700687643873567,5.38887118137255,-6.46801897132357,0.547924005493348,0.0950330095113468,0.180780364983507,0.0879553739381838,0.186146299576646,0.510229393858518,119.838927967426,223692.974826271
"8/27/22 22:18",21,"Spotify",1,"Yes","No","No","K pop","Yes","Yes",95,0.33,0,0.66,0.66,0.33,0,5,3,5,3,"Improve","I understand.",0.665392622726655,0.672851449554441,5.3769617564349,-6.80501110398495,0.543455834818662,0.110961361918122,0.1892295176521,0.0786947227830623,0.184619132662071,0.495874798164646,119.39226662119,224573.322585418
"8/27/22 22:33",19,"Spotify",6,"Yes","No","No","Rock","No","No",94,0,0,0,0,0,1,2,0,0,0,"Improve","I understand.",0.520547970107049,0.732813270046455,5.20904867703494,-7.58889497071299,0.700262573217532,0.0576956776408806,0.145188901539083,0.0624173257725712,0.203135184811149,0.537352050090891,124.988785901838,248576.500302969
"8/27/22 22:44",18,"I do not use a streaming service.",1,"Yes","No","No","R&B","Yes","Yes",155,0.33,0.33,0.66,0.66,0.33,0.66,2,2,5,1,"Improve","I understand.",0.638526547962908,0.690116411766307,5.35154044588343,-6.91914569661182,0.580359868537859,0.098201408785537,0.181852817554637,0.0712722187693788,0.188290093515267,0.517273701771087,120.55039168534,229050.70922924
"8/27/22 23:00",19,"YouTube Music",8,"Yes","No","No","EDM","Yes","No",125,1,0.33,0.33,0.33,0.66,0.33,1,0,0,1,"Improve","I understand.",0.660553043665099,0.716061236577075,5.378875763971,-6.48537128709965,0.552666236124781,0.111719128094474,0.157109314274188,0.111847031557131,0.195028512103761,0.487458919764755,121.922986433158,224079.031475414
"8/27/22 23:12",19,"Spotify",2,"Yes","No","No","Country","Yes","No",88,0.33,0,0.33,0,1,0,2,1,2,0,"Improve","I understand.",0.690051698047628,0.690882318672282,5.41709009715795,-6.57673770134104,0.53441814320667,0.150923198316592,0.166106491561052,0.101136797494971,0.192724547704818,0.484017030607505,121.688918349677,216545.690838253
"8/27/22 23:16",18,"Spotify",4,"Yes","Yes","No","Jazz","Yes","Yes",148,0,0.66,0.66,0,0,0.66,6,4,7,0,"Improve","I understand.",0.624378977372553,0.71405119436171,5.33730389799449,-6.722892600907,0.616800585893997,0.0781133651940353,0.17563433923516,0.055580199803839,0.186864684990135,0.548794501547946,121.451439285862,227736.017159554
"8/27/22 23:39",16,"Spotify",8,"Yes","No","No","Hip hop","Yes","Yes",103,0,0,0,0.66,1,0,8,8,4,3,"Improve","I understand.",0.699199477159253,0.626942813362604,5.44292305266649,-7.36931869005985,0.521423981514141,0.165414875453812,0.219286236953683,0.0572798900701576,0.185139204240697,0.515483257727365,118.097307395276,223481.658069673
"8/27/22 23:39",16,"Spotify",12,"Yes","No","Yes","Hip hop","Yes","Yes",120,0.66,0,0.66,0.33,0.66,1,5,7,10,0,"Improve","I understand.",0.625403650188947,0.70984943696976,5.33078282019457,-6.82248427404132,0.588497073531731,0.100496742945383,0.158462012130677,0.092416601508358,0.194562558863855,0.496306367494911,122.360039274662,229285.925699607
"8/27/22 23:40",17,"Spotify",24,"Yes","No","No","Rap","Yes","No",99,0,0.33,0.33,0.66,1,1,7,5,0,3,"Improve","I understand.",0.640835379414129,0.674283326364801,5.36423064459468,-7.22087118396836,0.585955516085626,0.117643683377956,0.191316178679852,0.0578098263824955,0.189285449097368,0.529829710217106,120.488235458853,229814.59776705
